20200117,陕西省,商洛市,北京市,北京市,0.00094
20200117,北京市,北京市,江西省,上饶市,0.01468
20200117,北京市,北京市,山东省,淄博市,0.03619
20200117,湖南省,怀化市,北京市,北京市,0.00288
20200117,山东省,淄博市,北京市,北京市,0.01698
20200117,福建省,宁德市,北京市,北京市,0.00249
20200117,江西省,新余市,北京市,北京市,0.00143
20200117,辽宁省,鞍山市,北京市,北京市,0.01053
20200117,辽宁省,丹东市,北京市,北京市,0.00748
20200117,北京市,北京市,湖北省,咸宁市,0.01186
20200117,贵州省,贵阳市,北京市,北京市,0.01892
20200117,北京市,北京市,山西省,晋城市,0.01717
20200117,甘肃省,平凉市,北京市,北京市,0.00120
20200117,北京市,北京市,山东省,日照市,0.01717
20200117,海南省,万宁市,北京市,北京市,0.00204
20200117,湖南省,郴州市,北京市,北京市,0.00172
20200117,北京市,北京市,湖南省,衡阳市,0.01720
20200117,北京市,北京市,广东省,清远市,0.00279
20200117,新疆维吾尔自治区,五家渠市,北京市,北京市,0.00010
20200117,云南省,西双版纳傣族自治州,北京市,北京市,0.00473
20200117,江西省,九江市,北京市,北京市,0.00567
20200117,北京市,北京市,山西省,运城市,0.11502
20200117,北京市,北京市,辽宁省,锦州市,0.03590
20200117,香港,香港,北京市,北京市,0.01183
20200117,山东省,济宁市,北京市,北京市,0.02365
20200117,海南省,澄迈县,北京市,北京市,0.00172
20200117,云南省,德宏傣族景颇族自治州,北京市,北京市,0.00097
20200117,北京市,北京市,贵州省,黔南布依族苗族自治州,0.00567
20200117,北京市,北京市,安徽省,宿州市,0.02871
20200117,北京市,北京市,安徽省,芜湖市,0.05041
20200117,广东省,湛江市,北京市,北京市,0.00473
20200117,新疆维吾尔自治区,北屯市,北京市,北京市,0.00010
20200117,北京市,北京市,河南省,南阳市,0.11220
20200117,北京市,北京市,云南省,普洱市,0.00168
20200117,北京市,北京市,吉林省,长春市,0.11136
20200117,甘肃省,定西市,北京市,北京市,0.00120
20200117,北京市,北京市,台湾省,新北市,0.00120
20200117,内蒙古自治区,阿拉善盟,北京市,北京市,0.00301
20200117,北京市,北京市,黑龙江省,齐齐哈尔市,0.05022
20200117,北京市,北京市,内蒙古自治区,锡林郭勒盟,0.02670
20200117,北京市,北京市,台湾省,嘉义县,0.00010
20200117,北京市,北京市,山西省,朔州市,0.02874
20200117,湖南省,常德市,北京市,北京市,0.00334
20200117,河南省,濮阳市,北京市,北京市,0.01740
20200117,海南省,琼中黎族苗族自治县,北京市,北京市,0.00010
20200117,北京市,北京市,云南省,昆明市,0.04967
20200117,西藏自治区,林芝市,北京市,北京市,0.00010
20200117,北京市,北京市,江苏省,苏州市,0.04967
20200117,山西省,大同市,北京市,北京市,0.04960
20200117,广西壮族自治区,南宁市,北京市,北京市,0.01743
20200117,广东省,韶关市,北京市,北京市,0.00097
20200117,北京市,北京市,澳门,澳门,0.00849
20200117,北京市,北京市,河南省,新乡市,0.04931
20200117,北京市,北京市,湖南省,常德市,0.01750
20200117,福建省,南平市,北京市,北京市,0.00249
20200117,北京市,北京市,西藏自治区,林芝市,0.00010
20200117,北京市,北京市,海南省,保亭黎族苗族自治县,0.00097
20200117,北京市,北京市,湖南省,岳阳市,0.01756
20200117,北京市,北京市,内蒙古自治区,包头市,0.04918
20200117,江西省,南昌市,北京市,北京市,0.02398
20200117,内蒙古自治区,乌兰察布市,北京市,北京市,0.02401
20200117,北京市,北京市,陕西省,汉中市,0.01759
20200117,北京市,北京市,湖南省,永州市,0.00593
20200117,北京市,北京市,甘肃省,平凉市,0.01759
20200117,北京市,北京市,甘肃省,武威市,0.00564
20200117,湖北省,恩施土家族苗族自治州,北京市,北京市,0.00165
20200117,山东省,烟台市,北京市,北京市,0.03541
20200117,贵州省,黔西南布依族苗族自治州,北京市,北京市,0.00207
20200117,广东省,潮州市,北京市,北京市,0.00097
20200117,内蒙古自治区,赤峰市,北京市,北京市,0.04876
20200117,北京市,北京市,浙江省,丽水市,0.00515
20200117,北京市,北京市,四川省,乐山市,0.00632
20200117,北京市,北京市,四川省,德阳市,0.00852
20200117,北京市,北京市,辽宁省,抚顺市,0.01763
20200117,北京市,北京市,山东省,聊城市,0.10397
20200117,北京市,北京市,台湾省,桃园市,0.00068
20200117,北京市,北京市,江西省,萍乡市,0.00593
20200117,北京市,北京市,广西壮族自治区,崇左市,0.00165
20200117,北京市,北京市,广西壮族自治区,百色市,0.00288
